,ARAT-RL_old,,, Sum ofARAT-RL,,person-controller,languagetool
1,1,0,6,7,,1,0
2,1,0,6,7,,1,0
3,1,0,6,7,,1,0
4,1,1,6,8,,1,0
5,1,1,6,8,,1,0
6,1,1,6,8,,1,0
7,1,1,6,8,,1,0
8,1,1,6,8,,1,0
9,1,1,6,8,,1,0
10,1,1,6,8,,1,0
11,1,1,6,8,,2,0
12,1,1,6,8,,2,0
13,1,1,6,8,,2,0
14,1,1,6,8,,2,0
15,1,1,6,8,,2,0
16,1,2,6,9,,2,0
17,1,2,6,9,,2,0
18,1,2,6,9,,2,0
19,2,2,6,10,,2,0
20,2,2,6,10,,2,0
21,2,2,6,10,,2,0
22,2,2,6,10,,2,0
23,2,2,6,10,,3,0
24,2,2,6,10,,3,0
25,2,2,6,10,,3,0
26,2,2,6,10,,3,0
27,2,2,6,10,,3,0
28,2,2,6,10,,3,0
29,2,2,6,10,,3,0
30,2,3,6,11,,3,0
31,2,3,6,11,,3,0
32,2,3,6,11,,3,0
33,2,3,6,11,,3,0
34,2,3,6,11,,3,0
35,2,3,6,11,,3,0
36,2,3,6,11,,3,0
37,2,3,6,11,,3,0
38,2,3,6,11,,3,0
39,2,3,6,11,,3,0
40,2,3,6,11,,3,0
41,2,3,6,11,,3,0
42,2,3,6,11,,3,0
43,2,3,6,11,,3,0
44,2,3,6,11,,3,0
45,2,3,6,11,,3,0
46,2,3,6,11,,3,0
47,2,3,6,11,,3,0
48,3,3,6,12,,3,0
49,3,3,6,12,,3,0
50,3,3,6,12,,3,0
51,3,3,6,12,,3,0
52,3,3,6,12,,4,1
53,3,3,6,12,,4,1
54,3,3,6,12,,4,1
55,3,3,6,12,,4,1
56,3,3,6,12,,4,1
57,3,3,6,12,,4,1
58,3,3,6,12,,4,1
59,3,3,6,12,,4,1
60,4,3,6,13,,4,1
61,4,3,6,13,,4,1
62,4,3,6,13,,4,1
63,4,3,6,13,,4,1
64,4,3,6,13,,4,1
65,4,3,6,13,,4,1
66,4,3,6,13,,4,1
67,4,3,6,13,,4,1
68,5,3,6,14,,4,1
69,5,3,6,14,,4,1
70,5,3,6,14,,4,1
71,5,3,6,14,,4,1
72,5,3,6,14,,4,1
73,5,3,6,14,,4,1
